track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Everybody Knows,Stephen Stills,Everybody Knows,326680,2018-03-02,16,0.715,0.487,9.0,-8.044,0.0,0.0338,0.534,1.08e-06,0.358,0.396,123.996,4.0
Houses,Stephen Stills,Everybody Knows,276773,2018-03-02,4,0.563,0.338,8.0,-11.556,1.0,0.0278,0.815,0.0,0.196,0.191,108.028,4.0
Reason to Believe,Stephen Stills,Everybody Knows,177106,2018-03-02,11,0.66,0.379,4.0,-12.034,1.0,0.0302,0.644,0.0,0.111,0.652,76.54,3.0
Girl from the North Country,Stephen Stills,Everybody Knows,206186,2018-03-02,7,0.467,0.219,7.0,-13.158,1.0,0.0279,0.68,0.0,0.113,0.307,78.08,4.0
Who Knows Where the Time Goes,Stephen Stills,Everybody Knows,340653,2018-03-02,7,0.429,0.283,4.0,-11.774,1.0,0.0278,0.936,0.00765,0.105,0.109,136.326,4.0
Questions,Stephen Stills,Everybody Knows,224773,2018-03-02,7,0.586,0.576,7.0,-7.464,1.0,0.0272,0.0453,8.91e-05,0.174,0.704,117.029,4.0
Midnight Rider,Stephen Stills,Viva Las Vegas,130466,1991,0,0.405,0.496,7.0,-10.988,1.0,0.0338,0.918,0.000238,0.75,0.806,105.144,4.0
She Begins To Task/Johnny's Garden,Stephen Stills,Viva Las Vegas,280000,1991,0,0.479,0.184,7.0,-15.87,1.0,0.0363,0.88,0.0,0.465,0.529,93.071,4.0
The Ballad Of Hollis Brown,Stephen Stills,Viva Las Vegas,237493,1991,0,0.352,0.307,7.0,-14.047,1.0,0.032,0.926,1.81e-06,0.795,0.722,76.879,4.0
Daylight Again/Find The Cost Of Freedom,Stephen Stills,Viva Las Vegas,220106,1991,0,0.441,0.239,7.0,-14.903,0.0,0.036,0.889,2.2e-06,0.735,0.543,90.166,3.0
Love The One You're With,Stephen Stills,Viva Las Vegas,339400,1991,2,0.429,0.748,9.0,-11.346,1.0,0.0959,0.00355,0.000903,0.357,0.472,95.507,4.0
